river_mile,total,average_depth,min_depth,max_depth,last_emergence,lat,lon
287,1,26,26,26,2019-09-09,40.4919,-122.331
290,1,14,14,14,2019-09-15,40.5138,-122.359
291,6,22.166666666666668,12,31,2019-10-01,40.5266,-122.36
292,1,24,24,24,2019-09-15,40.538,-122.357
293,3,15.666666666666666,8,29,2019-10-26,40.5445,-122.372
296,10,22.1,12,27,2019-10-18,40.5793,-122.365
297,62,17.258064516129032,4.5,35,2019-11-21,40.5913,-122.367
298,8,20.625,10,27,2019-10-18,40.5917,-122.383
299,5,34,23,45,2019-10-19,40.5927,-122.401
300,2,22.25,8.5,36,2019-09-28,40.594,-122.421
